_id,name,access,property_type,room_type,number_of_reviews,accommodates,bedrooms,host_id,host_name,neighbourhood,coordinates,price,start_date,end_date,amenities,rating,city,country,latitude,longitude
10057826,Deluxe Loft Suite,"Guest will have access to common terraces, lounge area, business center with 2 iMac computers, fitness center with dry sauna and steam shower, and laundry room.",Apartment,Entire home/apt,5,4,0.0,47554473,Mae,Greenpoint,"-73.94472, 40.72778",205.0,2016-01-03 05:00:00,2018-02-18 05:00:00,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Doorman', 'Gym', 'Elevator', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron']",88.0,New York,United States,-73.94472, 40.72778
10038496,Copacabana Apartment Posto 6,todo o espaço.,Apartment,Entire home/apt,70,4,1.0,51530266,Ana Valéria,Copacabana,"-43.190849194463404, -22.984339360067814",119.0,2016-01-18 05:00:00,2019-01-28 05:00:00,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Oven', 'Stove', 'Long term stays allowed', 'Wide hallway clearance', 'Host greets you']",98.0,Região Sudeste,Brasil,-43.190849194463404, -22.984339360067814
10051164,Catete's Colonial Big Hause Room B,"O hóspedes poderão acessar espaços compartilhados como sala de TV e estar, terraço, área para refeições.",House,Private room,1,8,1.0,51326285,Beatriz,Catete,"-43.18015675229857, -22.92638234778768",250.0,2016-02-10 05:00:00,2016-02-10 05:00:00,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Smoking allowed', 'Family/kid friendly', 'First aid kit', 'Fire extinguisher', 'Essentials']",80.0,Região Sudeste,Brasil,-43.18015675229857, -22.92638234778768
1001265,Ocean View Waikiki Marina w/prkg,"Pool, hot tub and tennis",Condominium,Entire home/apt,96,2,1.0,5448114,David,Waikiki,"-157.83919, 21.28634",115.0,2013-05-24 04:00:00,2019-02-07 05:00:00,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Elevator', 'Hot tub', 'Washer', 'Dryer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Stove', 'BBQ grill', 'Garden or backyard', 'Well-lit path to entrance', 'Disabled parking spot', 'Step-free access', 'Wide clearance to bed', 'Step-free access']",84.0,Hawaii,United States,-157.83919, 21.28634
10108388,Sydney Hyde Park City Apartment (checkin from 6am),"SECURITY  Secure 24hour front-desk access with full access to the rooftop area which  has stunning views of Hydepark and the city, and includes: pool, sauna and gym.  Laundry facilities, which are located on the mezzanine level and has coin operated washing machines and dryers.",Apartment,Entire home/apt,109,2,1.0,16187044,Desireé,Darlinghurst,"151.21346, -33.87603",185.0,2016-06-30 04:00:00,2019-03-06 05:00:00,"['TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Gym', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Building staff', 'Private living room', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Cleaning before checkout', 'Step-free access', 'Flat path to front door', 'Well-lit path to entrance', 'Step-free access']",100.0,New South Wales,Australia,151.21346, -33.87603
10091713,Surry Hills Studio - Your Perfect Base in Sydney,You have full use of the entire studio and complete privacy during your stay.,Apartment,Entire home/apt,64,2,0.0,13764143,Ben,Surry Hills,"151.21554, -33.88029",181.0,2016-12-29 05:00:00,2018-03-18 04:00:00,"['TV', 'Wifi', 'Kitchen', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Ethernet connection', 'Other']",95.0,New South Wales,Australia,151.21554, -33.88029
10228731,Quarto inteiro na Tijuca,"O quarto é privativo, com acesso a todas as acomodações do apartamento.",Apartment,Private room,1,1,1.0,12673423,Gilberto,Tijuca,"-43.247421907135774, -22.936203246553816",149.0,2016-05-26 04:00:00,2016-05-26 04:00:00,"['Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Family/kid friendly', 'Washer']",100.0,Região Sudeste,Brasil,-43.247421907135774, -22.936203246553816
10233856,Twin Bed room+MTR Mongkok shopping&My,"Each guest room is equipped with free access to the following: ★ HD TV, ★ air conditioning (cooling only, non-heating) ★ free wireless wi-fi network, ★ conversion plugs, ★ 24-hour hot shower separate toilet, ★ Towel ★ toiletries (toothpaste, toothbrushes) and toiletries (shampoo, shower gel), ★ slippers, racks, ★ electric kettle, cup ★ hair dryer, comb, cotton swab. PS: the room with no cooking utensils, cooking does not support the number of room towels, towels, pillows and quilts in accordance with room type, for increasing the number of required charge extra fees linens, sheets, pillowcases as a one-off, for. Replacing need charge extra fees per day. [Free luggage storage service] Check-in time is 14:00, check out time is 12:00 the next day (we need to do the cleaning after you check out, the room clean and ready for the next guest to stay), the day of arrival We arrive early or after check-out are available free luggage service, luggage storage after check-out time is 18:00 the day",Apartment,Private room,22,3,1.0,52473150,Danny,Mong Kok,"114.17073, 22.31723",400.0,2016-08-28 04:00:00,2018-07-12 04:00:00,"['TV', 'Wifi', 'Air conditioning', 'Doorman', 'Elevator', 'Family/kid friendly', 'Smoke detector', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Hair dryer']",83.0,香港 Hong Kong,中国,114.17073, 22.31723
10140368,A bedroom far away from home,"you can use the living room and kitchen. we also have a piano, so if you know how to play,you are free to do so!",Apartment,Private room,239,2,1.0,1017772,Lane,Jamaica,"-73.82257, 40.71485",45.0,2016-01-06 05:00:00,2019-03-03 05:00:00,"['Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Private entrance', 'Hot water', 'Host greets you']",95.0,New York,United States,-73.82257, 40.71485
10092679,Cozy house at Beyoğlu,"Kitchen, bathroom, room, sitting room, balcony, washing machine, dishwasher, Ironing.",Apartment,Private room,27,2,1.0,21331922,Ali,Taksim,"28.95825, 41.03777",58.0,2017-10-08 04:00:00,2018-12-21 05:00:00,"['Wifi', 'Kitchen', 'Smoking allowed', 'Breakfast', 'Pets live on this property', 'Cat(s)', 'Free street parking', 'Heating', 'Washer', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Cooking basics', 'Patio or balcony', 'Luggage dropoff allowed', 'Host greets you']",99.0,Marmara Bölgesi,Türkiye,28.95825, 41.03777
